#a_0,e_0,emax,emin,tcol
1.216,0.490,0.92381,0.47059,-1310.78250
1.440,0.250,0.25342,0.24141,100000.00000
1.459,0.210,0.21313,0.20226,100000.00000
0.861,0.470,1.01674,0.24297,-121.24523
1.054,0.060,0.06416,0.04628,100000.00000
0.719,0.210,0.25181,0.18389,100000.00000
0.726,0.350,0.96211,0.26099,-94.22099
0.507,0.390,1.18762,0.01061,-3.30475
1.005,0.350,0.36689,0.33343,100000.00000
1.067,0.400,0.41707,0.38284,100000.00000
0.323,0.450,1.26815,0.44505,0.07587
1.071,0.450,0.93462,0.42148,-901.97172
1.478,0.390,0.39536,0.38090,100000.00000
0.489,0.080,0.17189,0.02320,100000.00000
0.934,0.420,0.97379,0.36924,-146.49501
1.202,0.240,0.24502,0.22873,100000.00000
0.641,0.130,0.15536,0.09382,100000.00000
0.795,0.330,0.98713,0.28660,-867.53689
0.524,0.230,0.97842,0.05202,-37.04500
1.259,0.050,0.05297,0.04021,100000.00000
1.011,0.380,0.40042,0.36410,100000.00000
0.678,0.460,1.12381,0.34222,-7.62768
0.407,0.160,1.04605,0.04076,-10.41081
0.851,0.040,0.04650,0.01878,100000.00000
0.917,0.440,0.99377,0.36582,-225.90632
0.562,0.470,1.45772,0.05689,-6.12734
0.700,0.320,1.05308,0.21902,-52.52045
0.559,0.490,1.03015,0.11742,2.16176
0.333,0.410,0.60473,0.27665,0.12360
0.817,0.410,0.99582,0.30373,-61.73388
0.338,0.040,1.03529,0.02027,-2.18948
0.668,0.370,1.05422,0.31372,-34.53749
0.689,0.030,0.04187,0.00001,100000.00000
0.367,0.280,1.58319,0.12315,-0.71817
0.469,0.090,1.27900,0.05078,-9.70804
1.326,0.090,0.09291,0.08112,100000.00000
1.142,0.290,0.29702,0.27722,100000.00000
0.381,0.330,1.07530,0.16462,-1.58955
0.932,0.300,0.31059,0.27700,100000.00000
1.378,0.090,0.09274,0.08171,100000.00000
0.728,0.480,0.97957,0.03839,-78.52382
1.319,0.040,0.04273,0.03100,100000.00000
0.342,0.260,1.21778,0.14315,0.04456
1.037,0.350,0.36859,0.33442,100000.00000
0.520,0.420,1.26861,0.09375,-13.71287
1.144,0.070,0.07363,0.05832,100000.00000
0.474,0.230,0.97937,0.12399,-8.14453
1.494,0.430,0.43625,0.42053,100000.00000
0.823,0.170,0.18123,0.14736,100000.00000
0.676,0.320,0.94976,0.28479,-14.90515
0.535,0.380,1.44857,0.09439,-3.43492
1.487,0.410,0.41584,0.40074,100000.00000
1.110,0.240,0.24616,0.22699,100000.00000
0.657,0.080,0.09949,0.04445,100000.00000
0.192,0.030,0.86928,0.03058,0.02685
0.654,0.160,0.22669,0.10326,100000.00000
1.364,0.270,0.27411,0.26084,100000.00000
0.520,0.350,1.38422,0.11022,-5.91890
0.407,0.170,1.27932,0.03826,4.13785
0.258,0.340,0.62502,0.33579,0.05652
0.255,0.410,0.41079,0.41079,0.00001
0.544,0.320,1.23239,0.10265,-8.62960
0.243,0.040,0.89795,0.03763,0.02912
0.346,0.210,1.46768,0.08476,0.05002
