#a_0,e_0,emax,emin,tcol
0.219,0.320,-1.00000,-1.00000,0.00000
0.319,0.420,0.52255,0.40866,0.06979
0.308,0.270,0.90348,0.20802,0.04058
0.328,0.190,0.93833,0.09424,0.04329
0.433,0.110,1.06676,0.01268,-56.94133
0.507,0.350,1.04893,0.15930,-43.06687
0.251,0.060,0.84892,0.05321,0.03015
0.395,0.370,0.55987,0.20012,0.20305
0.243,0.060,0.77774,0.05538,0.02953
0.361,0.040,1.03703,0.01681,0.50364
0.227,0.020,0.84404,0.02007,0.02754
0.308,0.350,1.00198,0.32663,0.04786
0.515,0.400,0.77697,0.01228,1.61034
0.589,0.320,1.16174,0.04117,-69.34434
0.304,0.300,1.02530,0.25590,0.04159
0.408,0.190,1.09402,0.03618,-40.62431
0.461,0.380,1.01728,0.01546,-70.49747
0.180,0.400,0.40010,0.40010,-0.00673
0.204,0.490,0.49011,0.49011,-0.00611
0.312,0.090,1.05542,0.04842,0.03902
0.498,0.470,1.14026,0.05263,-36.69677
0.603,0.430,1.25630,0.25463,-32.78654
0.290,0.280,0.81842,0.24748,0.04049
0.195,0.430,-1.00000,-1.00000,0.00000
0.319,0.090,1.37261,0.04361,0.04322
0.327,0.250,0.88961,0.15516,0.04246
0.342,0.420,0.74925,0.02022,0.08818
0.432,0.450,1.17119,0.13797,0.08321
0.437,0.080,1.05783,0.03303,-144.08596
0.197,0.440,0.44010,0.44010,-0.00616
0.202,0.230,1.01580,0.22766,0.04520
0.368,0.280,1.51301,0.12130,-15.72117
0.478,0.390,1.19919,0.03073,-32.82296
0.439,0.490,1.78071,0.23714,0.08392
0.421,0.020,1.40058,0.00717,-34.52163
0.269,0.500,0.50011,0.50011,-0.00355
0.224,0.180,0.87231,0.17516,0.03468
0.458,0.140,1.09916,0.07672,-50.08502
0.518,0.310,1.03534,0.04166,-41.81017
0.468,0.000,1.29148,0.00007,-82.88693
0.391,0.500,2.55021,0.41175,0.08759
0.585,0.240,1.06662,0.17240,-127.28293
0.183,0.300,0.30009,0.30009,-0.00592
0.414,0.240,1.28888,0.03389,-24.52199
0.488,0.450,1.50477,0.01724,-16.67130
0.431,0.260,1.22047,0.05505,-29.88766
0.194,0.460,-1.00000,-1.00000,0.00000
0.270,0.300,0.94440,0.29117,0.04321
0.548,0.500,1.73379,0.08478,-14.24173
0.253,0.250,0.94052,0.24164,0.03859
0.506,0.200,1.04691,0.13988,-116.51092
0.281,0.280,1.10284,0.25880,0.04024
0.488,0.310,1.01915,0.14340,-133.52996
0.364,0.290,1.72160,0.14236,-13.20572
0.332,0.380,1.94781,0.33893,-10.89907
0.315,0.010,1.49381,0.01007,-25.48305
0.483,0.340,1.36063,0.11404,-24.46378
0.214,0.090,0.85326,0.08665,0.02942
0.208,0.350,-1.00000,-1.00000,0.00000
0.324,0.300,0.87383,0.22503,0.04383
0.233,0.130,0.85749,0.12231,0.03116
0.322,0.280,0.97034,0.20136,0.04243
0.394,0.150,1.50425,0.00336,5.38421
0.397,0.080,1.09494,0.01128,-41.70554
0.264,0.350,0.58822,0.34500,0.05877
0.380,0.210,1.04799,0.02568,0.33078
0.293,0.280,0.89547,0.24375,0.04043
0.279,0.150,0.96231,0.11054,0.03422
0.418,0.110,0.94060,0.03501,4.05446
0.401,0.490,1.18982,0.35017,0.07838
0.480,0.390,1.33553,0.04099,-25.72342
0.234,0.030,0.86169,0.03007,0.02819
0.202,0.270,0.27009,0.27009,-0.00197
0.234,0.480,-1.00000,-1.00000,0.00000
0.589,0.080,0.22924,0.00283,38.23400
0.469,0.320,1.43519,0.09980,-20.29263
0.573,0.270,1.15702,0.15545,-47.35649
0.399,0.000,1.39142,0.00007,-23.41513
0.451,0.180,1.08807,0.08910,-67.45926
0.294,0.110,0.85002,0.06820,0.03629
0.472,0.360,1.10178,0.00302,-60.21278
0.252,0.300,0.92951,0.29474,0.04580
0.526,0.150,1.10694,0.05416,-81.63230
0.310,0.450,2.00236,0.44498,0.08301
0.519,0.310,1.05525,0.06310,-98.80958
0.240,0.120,0.88075,0.11014,0.03085
0.362,0.100,0.66490,0.01560,0.39257
0.210,0.050,0.79298,0.04987,0.02770
0.482,0.180,1.06897,0.01159,-62.86901
0.314,0.450,1.29765,0.44478,0.07933
0.465,0.030,1.23193,0.00687,-44.53922
0.548,0.000,0.15327,0.00007,-388.99872
0.430,0.410,1.29932,0.04763,0.09181
0.525,0.500,0.80569,0.01973,0.21631
0.460,0.260,1.04432,0.10879,-76.43492
0.599,0.500,1.76967,0.00768,1.47354
0.261,0.410,1.97872,0.40676,-11.17132
0.489,0.390,1.39203,0.01155,-25.23175
0.200,0.310,-1.00000,-1.00000,0.00000
0.192,0.500,0.50011,0.50011,-0.00643
0.363,0.310,1.69203,0.17164,-13.30854
0.385,0.390,1.86553,0.25937,-12.49208
0.587,0.080,0.17211,0.00348,-192.71524
0.530,0.140,0.26639,0.03693,11.97200
0.451,0.120,1.84456,0.06077,-25.07122
0.354,0.060,1.25808,0.01658,4.42741
